Date,Price,Open,High,Low,Vol.,Change %
12/04/2015,361.7,360.3,364,354.3,60.55K,0.38%
12/03/2015,360.3,360,371.4,355.5,87.23K,0.09%
12/02/2015,360,361.8,363.4,347.2,92.45K,-0.50%
12/01/2015,361.8,378,379,353.7,111.91K,-4.28%
11/30/2015,378,370.8,382.6,367.9,129.77K,1.92%
11/29/2015,370.8,355.8,372.8,354.5,67.37K,4.22%
11/28/2015,355.8,359.5,360.1,350.5,56.17K,-1.03%
11/27/2015,359.5,353.7,363.9,345.1,103.48K,1.63%
11/26/2015,353.7,327.5,368.9,327.4,211.38K,8.01%
11/25/2015,327.5,318.4,330,315.7,77.68K,2.88%
11/24/2015,318.4,322.1,323.3,315.5,50.66K,-1.17%
11/23/2015,322.1,322.8,325,319.9,42.73K,-0.20%
11/22/2015,322.8,324.7,326.9,319.4,36.75K,-0.59%
11/21/2015,324.7,321.1,328.4,318.4,45.00K,1.11%
11/20/2015,321.1,325,327.1,309.5,109.99K,-1.19%
11/19/2015,325,335.9,335.6,323.4,86.38K,-3.26%
11/18/2015,335.9,333.9,337.4,329.4,78.36K,0.60%
11/17/2015,333.9,330.2,342.9,328.1,98.25K,1.12%
11/16/2015,330.2,317.5,332,314.1,87.14K,4.02%
11/15/2015,317.5,331.8,334.8,314.2,88.32K,-4.32%
11/14/2015,331.8,333.8,369.8,326.4,71.11K,-0.60%
11/13/2015,333.8,333.9,341.8,323.9,97.25K,-0.02%
11/12/2015,333.9,304.7,346.1,306.1,164.61K,9.56%
11/11/2015,304.7,336.7,341.8,292.4,263.96K,-9.50%
11/10/2015,336.7,380.2,381.4,323.2,210.29K,-11.45%
11/09/2015,380.2,371.6,385.1,360.2,125.54K,2.33%
11/08/2015,371.6,385.1,389.8,365.5,94.36K,-3.51%
11/07/2015,385.1,369.8,391.8,369,103.03K,4.13%
11/06/2015,369.8,382.7,396.4,348.8,255.28K,-3.37%
11/05/2015,382.7,400.9,447.2,366.1,302.95K,-4.54%
11/04/2015,400.9,396.5,492.8,368.6,517.73K,1.11%
11/03/2015,396.5,359.3,416.8,354.6,421.99K,10.36%
11/02/2015,359.3,323,365.8,319.8,223.10K,11.25%
11/01/2015,323,311.2,324.3,304.7,73.71K,3.76%
10/31/2015,311.2,327.1,333.3,304.6,105.83K,-4.85%
10/30/2015,327.1,313.6,334.9,310.8,156.49K,4.30%
10/29/2015,313.6,303.5,318.5,300.2,138.92K,3.32%
10/28/2015,303.5,294.7,307.5,294,116.41K,3.01%
10/27/2015,294.7,285.1,298.4,285.1,105.87K,3.34%
10/26/2015,285.1,287.9,287.6,279.6,73.21K,-0.94%
10/25/2015,287.9,282.6,295.6,281.8,113.90K,1.88%
10/24/2015,282.6,276.9,283,277,60.13K,2.04%
10/23/2015,276.9,274.4,279.8,273.2,69.32K,0.91%
10/22/2015,274.4,267.1,278.7,266.8,93.15K,2.74%
10/21/2015,267.1,269.8,272.2,263.5,59.64K,-0.98%
10/20/2015,269.8,263.8,272.1,262.7,75.40K,2.25%
10/19/2015,263.8,261.7,266,259.9,58.17K,0.82%
10/18/2015,261.7,269.6,272.4,259.5,52.27K,-2.93%
10/17/2015,269.6,262.9,275.4,261.7,113.84K,2.55%
10/16/2015,262.9,254.4,267.3,253.9,95.18K,3.31%
10/15/2015,254.4,252.3,256.8,251.2,60.64K,0.84%
10/14/2015,252.3,248.8,255.1,248.3,69.58K,1.43%
10/13/2015,248.8,245.4,251.2,243.1,74.88K,1.40%
10/12/2015,245.4,247.6,248,244.6,40.39K,-0.93%
10/11/2015,247.6,245.4,248.3,244.5,41.43K,0.94%
10/10/2015,245.4,244,245.9,242.9,38.96K,0.54%
10/09/2015,244,242.6,244.6,241.3,40.57K,0.60%
10/08/2015,242.6,243,244.8,241.6,44.15K,-0.16%
10/07/2015,243,246.1,247.3,241.6,62.60K,-1.28%
10/06/2015,246.1,240.1,247.6,239.4,78.84K,2.49%
10/05/2015,240.1,238.3,240.5,236.4,61.24K,0.76%
10/04/2015,238.3,238.6,277.6,237.5,31.85K,-0.10%
10/03/2015,238.6,236.7,239.5,236.1,43.31K,0.79%
10/02/2015,236.7,237.1,238.4,235.1,47.94K,-0.14%
10/01/2015,237.1,235.9,238.7,234.7,52.88K,0.47%
09/30/2015,235.9,236.7,237.8,234.4,50.52K,-0.33%
09/29/2015,236.7,238.9,240.4,234.8,57.30K,-0.90%
09/28/2015,238.9,232.5,240.4,232.4,64.28K,2.74%
09/27/2015,232.5,234.3,234.8,231.8,36.14K,-0.77%
09/26/2015,234.3,235,235.7,232.7,40.29K,-0.31%
09/25/2015,235,233.8,237.6,232.7,61.58K,0.54%
09/24/2015,233.8,229.9,235.8,229.6,72.12K,1.68%
09/23/2015,229.9,230,232.2,228.5,43.60K,-0.05%
09/22/2015,230,226.3,233.2,224.1,71.55K,1.63%
09/21/2015,226.3,231.1,231.6,225,53.43K,-2.06%
09/20/2015,231.1,231.1,232.7,229.9,33.15K,0.00%
09/19/2015,231.1,232.2,233.4,230.2,34.47K,-0.47%
09/18/2015,232.2,232.7,234.7,230.6,53.17K,-0.22%
09/17/2015,232.7,228.6,235.2,227.9,56.06K,1.80%
09/16/2015,228.6,229.5,230.9,225.1,51.91K,-0.41%
09/15/2015,229.5,229.9,242.8,228,49.52K,-0.17%
09/14/2015,229.9,230.2,232.6,226,61.10K,-0.12%
09/13/2015,230.2,235.6,236.2,228.3,51.60K,-2.30%
09/12/2015,235.6,239.9,240.3,233.3,43.77K,-1.79%
09/11/2015,239.9,238.1,241,237.4,45.77K,0.76%
09/10/2015,238.1,237.4,240.6,234.3,60.54K,0.28%
09/09/2015,237.4,243.2,244.3,236.5,69.26K,-2.40%
09/08/2015,243.2,239.6,246.4,239.2,76.35K,1.53%
09/07/2015,239.6,239.9,242.7,237.5,57.19K,-0.12%
09/06/2015,239.9,233.7,243.6,234.7,66.27K,2.65%
09/05/2015,233.7,230.3,235.6,228.3,48.28K,1.49%
09/04/2015,230.3,226.2,231.1,225.8,61.76K,1.79%
09/03/2015,226.2,228.6,229.6,225.4,54.15K,-1.06%
09/02/2015,228.6,227.2,230.6,225.6,58.77K,0.64%
09/01/2015,227.2,229.5,231.4,225.8,66.54K,-1.00%
08/31/2015,229.5,228.4,231.8,224.2,54.51K,0.47%
08/30/2015,228.4,228.5,232.3,225.4,39.81K,-0.04%
08/29/2015,228.5,231.6,233.1,226.4,43.74K,-1.36%
08/28/2015,231.6,222.7,234.8,219.6,90.66K,4.00%
08/27/2015,222.7,225,228.4,222,60.25K,-1.00%
08/26/2015,225,220.5,230.7,218.8,92.81K,2.02%
08/25/2015,220.5,211.4,226.6,196.3,190.79K,4.29%
08/24/2015,211.4,226.8,228.4,207.8,196.70K,-6.76%
08/23/2015,226.8,229.5,232.7,224.3,48.84K,-1.22%
08/22/2015,229.5,232.4,235.1,221,74.21K,-1.23%
08/21/2015,232.4,234.7,236.3,230.5,57.65K,-0.96%
08/20/2015,234.7,226,238,225.5,90.98K,3.83%
08/19/2015,226,246.7,247.9,214.3,245.82K,-8.40%
08/18/2015,246.7,257.1,257.5,245.7,94.50K,-4.05%
08/17/2015,257.1,257.1,259.9,252.9,47.88K,0.00%
08/16/2015,257.1,260.5,261.9,254.6,69.04K,-1.31%
08/15/2015,260.5,265,266.5,259.4,38.91K,-1.70%
08/14/2015,265,263.4,267.2,260.2,52.33K,0.60%
08/13/2015,263.4,267.7,268.4,261.3,56.49K,-1.58%
08/12/2015,267.7,269,271.5,263.7,56.73K,-0.51%
08/11/2015,269,263.3,269.9,261.4,51.36K,2.18%
08/10/2015,263.3,263.9,266.6,260.5,48.57K,-0.22%
08/09/2015,263.9,258.6,266.8,258.6,57.48K,2.04%
08/08/2015,258.6,277.9,278.9,257.4,82.54K,-6.94%
08/07/2015,277.9,278,279.6,274.3,42.81K,-0.04%
08/06/2015,278,281.7,282,276.5,33.26K,-1.32%
08/05/2015,281.7,284.3,285.5,280.5,38.29K,-0.91%
08/04/2015,284.3,281.6,285.7,279.6,44.84K,0.97%
08/03/2015,281.6,281.4,285,278.9,45.89K,0.08%
08/02/2015,281.4,280.5,282.5,275.9,35.67K,0.32%
08/01/2015,280.5,283.7,284.5,276.3,39.43K,-1.15%
07/31/2015,283.7,287,288.7,280.8,49.21K,-1.15%
07/30/2015,287,288.4,289.9,284.9,44.79K,-0.47%
07/29/2015,288.4,293.7,294.7,286.9,50.67K,-1.81%
07/28/2015,293.7,293,296.7,291.7,49.07K,0.24%
07/27/2015,293,291.8,295.8,285.4,69.71K,0.42%
07/26/2015,291.8,288.7,293.3,286.8,30.99K,1.05%
07/25/2015,288.7,288.4,291.2,284.7,41.65K,0.13%
07/24/2015,288.4,275.5,289.8,274.3,74.36K,4.66%
07/23/2015,275.5,276.5,277.9,274.5,35.66K,-0.34%
07/22/2015,276.5,275.1,277.4,273.1,41.97K,0.50%
07/21/2015,275.1,277.7,281,274.2,49.05K,-0.93%
07/20/2015,277.7,273.2,278.9,271.8,46.60K,1.65%
07/19/2015,273.2,274,277.1,271.9,30.20K,-0.32%
07/18/2015,274,279.6,282.5,243.2,55.34K,-1.99%
07/17/2015,279.6,276.6,280.8,271.2,62.12K,1.10%
07/16/2015,276.6,283.4,290.8,273.3,121.32K,-2.41%
07/15/2015,283.4,287,292.9,283.2,59.58K,-1.23%
07/14/2015,287,290.4,297,285.2,60.62K,-1.17%
07/13/2015,290.4,310.4,310.9,276.9,146.85K,-6.47%
07/12/2015,310.4,292,315.9,291.3,120.70K,6.33%
07/11/2015,292,283.6,298.8,282.3,46.49K,2.94%
07/10/2015,283.6,269.1,297.9,266.9,117.17K,5.38%
07/09/2015,269.1,268.6,272.3,265.1,48.39K,0.19%
07/08/2015,268.6,266.2,273.6,263.2,45.29K,0.91%
07/07/2015,266.2,269.1,271.3,263.2,41.61K,-1.07%
07/06/2015,269.1,270.1,277.5,266.5,90.58K,-0.39%
07/05/2015,270.1,260.5,274.1,257.6,48.45K,3.68%
07/04/2015,260.5,255.4,261.1,253.4,32.95K,2.02%
07/03/2015,255.4,254.9,256.7,252.4,36.58K,0.20%
07/02/2015,254.9,257.6,261.3,253.1,45.01K,-1.06%
07/01/2015,257.6,264.1,265,254.4,66.94K,-2.46%
06/30/2015,264.1,257,268.7,255.4,116.53K,2.78%
06/29/2015,257,248.9,257.5,248,92.64K,3.25%
06/28/2015,248.9,250.7,251.6,246.6,39.89K,-0.74%
06/27/2015,250.7,242.9,251.6,241.8,54.70K,3.20%
06/26/2015,242.9,242.6,243.5,240.1,37.62K,0.16%
06/25/2015,242.6,240.6,243.6,239.3,40.36K,0.83%
06/24/2015,240.6,243.8,244.5,239.1,47.11K,-1.31%
06/23/2015,243.8,247.5,247.7,242.3,38.43K,-1.50%
06/22/2015,247.5,244.1,248.6,243.2,47.59K,1.38%
06/21/2015,244.1,245,246,240.9,25.15K,-0.36%
06/20/2015,245,244.1,246.6,238.7,51.28K,0.35%
06/19/2015,244.1,248.4,250.8,243.6,84.70K,-1.73%
06/18/2015,248.4,247.4,251.9,242.5,78.14K,0.43%
06/17/2015,247.4,249.8,258.5,245.1,121.62K,-0.98%
06/16/2015,249.8,237,254.1,235.7,122.47K,5.41%
06/15/2015,237,233.8,238.6,233.3,63.47K,1.39%
06/14/2015,233.8,232.5,235.5,232.1,32.90K,0.55%
06/13/2015,232.5,230.5,233.1,229,38.01K,0.88%
06/12/2015,230.5,229.9,231.6,229.3,40.75K,0.25%
06/11/2015,229.9,228.8,230.6,228.5,38.00K,0.48%
06/10/2015,228.8,229.6,230.4,227.8,41.64K,-0.34%
06/09/2015,229.6,228.6,231.4,227.5,54.84K,0.43%
06/08/2015,228.6,223.5,229.9,223,74.15K,2.28%
06/07/2015,223.5,224.7,226.4,222.2,40.48K,-0.57%
06/06/2015,224.7,225.3,225.8,223.5,22.47K,-0.24%
06/05/2015,225.3,224.2,226.4,222.1,56.46K,0.48%
06/04/2015,224.2,225.6,226.7,223.5,44.06K,-0.61%
06/03/2015,225.6,225.7,227.9,223.7,54.35K,-0.07%
06/02/2015,225.7,223.1,227.4,222.3,60.81K,1.17%
06/01/2015,223.1,229.8,231.8,221,87.06K,-2.92%
05/31/2015,229.8,233.2,234,229.1,39.00K,-1.45%
05/30/2015,233.2,237,237.1,231.6,41.63K,-1.61%
05/29/2015,237,237.3,237.9,235.1,38.92K,-0.12%
05/28/2015,237.3,237.3,238.4,236.2,35.75K,0.00%
05/27/2015,237.3,237.8,238.9,235.9,48.03K,-0.23%
05/26/2015,237.8,237.4,239,235.6,37.08K,0.18%
05/25/2015,237.4,241,241.8,235.8,26.39K,-1.48%
05/24/2015,241,238.9,242.4,237.5,30.26K,0.85%
05/23/2015,238.9,240.4,241.7,238.1,36.03K,-0.59%
05/22/2015,240.4,235.4,242,234.6,74.11K,2.12%
05/21/2015,235.4,234,236.6,233.6,42.94K,0.61%
05/20/2015,234,232,235.2,231.5,49.69K,0.84%
05/19/2015,232,232.6,234.5,231.3,40.94K,-0.27%
05/18/2015,232.6,236.3,237.1,231.5,53.14K,-1.55%
05/17/2015,236.3,236.2,237.8,235.4,28.43K,0.03%
05/16/2015,236.2,237.2,237.8,234.6,27.05K,-0.41%
05/15/2015,237.2,236.9,238.8,235.5,46.03K,0.13%
05/14/2015,236.9,236.4,239.2,232.4,71.02K,0.22%
05/13/2015,236.4,241.6,243.9,234.1,84.43K,-2.15%
05/12/2015,241.6,241.8,243,239.2,40.08K,-0.10%
05/11/2015,241.8,240,243.9,238.9,57.17K,0.77%
05/10/2015,240,241.4,244.8,238.2,44.00K,-0.60%
05/09/2015,241.4,243.7,247.9,238.5,62.79K,-0.96%
05/08/2015,243.7,237.7,247,235.8,87.50K,2.53%
05/07/2015,237.7,230,240.3,228.3,91.05K,3.35%
05/06/2015,230,235.8,237.1,228.2,103.66K,-2.46%
05/05/2015,235.8,239,239.6,231.8,77.87K,-1.32%
05/04/2015,239,240,243.2,237.4,69.12K,-0.43%
05/03/2015,240,235.3,243.6,233.8,55.72K,1.98%
05/02/2015,235.3,233.2,236.4,231.7,37.08K,0.91%
05/01/2015,233.2,235.8,239.4,232.4,60.14K,-1.09%
